5A8	Aleknagik / New Airport	US
CYUB	Tuktoyaktuk / James Gruben Airport	CA
CYUL	Montreal / Pierre Elliott Trudeau International Airport	CA
CYUT	Naujaat Airport	CA
CYUX	Hall Beach Airport	CA
CYUY	Rouyn Noranda Airport	CA
CYVB	Bonaventure Airport	CA
CYVC	La Ronge Airport	CA
CYVD	Virden / RJ (Bob) Andrew Field Regional Aerodrome	CA
CYVK	Vernon Airport	CA
CYVM	Qikiqtarjuaq Airport	CA
CYVO	Val-d'Or Airport	CA
CYVP	Kuujjuaq Airport	CA
CYVQ	Norman Wells Airport	CA
CYVR	Vancouver International Airport	CA
CYVV	Wiarton Airport	CA
CYVZ	Deer Lake Airport	CA
CYWA	Petawawa Airport	CA
CYWG	Winnipeg / James Armstrong Richardson International Airport	CA
CYWJ	Déline Airport	CA
CYWK	Wabush Airport	CA
CYWL	Williams Lake Airport	CA
CYWP	Webequie Airport	CA
CYWY	Wrigley Airport	CA
CYXC	Cranbrook/Canadian Rockies International Airport	CA
CYXE	Saskatoon John G. Diefenbaker International Airport	CA
CYXH	Medicine Hat Regional Airport	CA
CYXJ	Fort St John Airport	CA
CYXK	Rimouski Airport	CA
CYXL	Sioux Lookout Airport	CA
CYXN	Whale Cove Airport	CA
CYXP	Pangnirtung Airport	CA
CYXQ	Beaver Creek Airport	CA
CYXR	Earlton (Timiskaming Regional) Airport	CA
CYXS	Prince George Airport	CA
CYXT	Northwest Regional Airport Terrace-Kitimat	CA
CYXU	London Airport	CA
CYXX	Abbotsford International Airport	CA
CYXY	Whitehorse / Erik Nielsen International Airport	CA
CYXZ	Wawa Airport	CA
CYYB	North Bay Jack Garland Airport	CA
CYYC	Calgary International Airport	CA
CYYD	Smithers Airport	CA
CYYE	Fort Nelson Airport	CA
CYYF	Penticton Airport	CA
CYYG	Charlottetown Airport	CA
CYYH	Taloyoak Airport	CA
CYYJ	Victoria International Airport	CA
CYYL	Lynn Lake Airport	CA
CYYN	Swift Current Airport	CA
CYYQ	Churchill Airport	CA
CYYR	Goose Bay Airport	CA
CYYT	St. John's International Airport	CA
CYYU	Kapuskasing Airport	CA
CYYW	Armstrong Airport	CA
CYYY	Mont Joli Airport	CA
CYYZ	Lester B. Pearson International Airport	CA
CYZD	Downsview Airport	CA
CYZE	Gore Bay Manitoulin Airport	CA
CYZF	Yellowknife International Airport	CA
CYZG	Salluit Airport	CA
CYZH	Slave Lake Airport	CA
CYZP	Sandspit Airport	CA
CYZR	Chris Hadfield Airport	CA
CYZS	Coral Harbour Airport	CA
CYZT	Port Hardy Airport	CA
CYZU	Whitecourt Airport	CA
CYZV	Sept-Îles Airport	CA
CYZW	Teslin Airport	CA
CYZX	CFB Greenwood	CA
CYZY	Mackenzie Airport	CA
CZAC	York Landing Airport	CA
CZAM	Shuswap Regional Airport	CA
CZBB	Boundary Bay Airport	CA
CZBD	Ilford Airport	CA
CZBF	Bathurst Airport	CA
CZBM	Bromont (Roland Désourdy) Airport	CA
CZEE	Kelsey Airport	CA
CZEM	Eastmain River Airport	CA
CZFA	Faro Airport	CA
CZFD	Fond-Du-Lac Airport	CA
CZFG	Pukatawagan Airport	CA
CZFM	Fort Mcpherson Airport	CA
CZFN	Tulita Airport	CA
CZGF	Grand Forks Airport	CA
CZGI	Gods River Airport	CA
CZGR	Little Grand Rapids Airport	CA
CZJG	Jenpeg Airport	CA
CZJN	Swan River Airport	CA
CZKE	Kashechewan Airport	CA
CZLQ	Thicket Portage Airport	CA
CZMD	Muskrat Dam Airport	CA
CZMN	Pikwitonei Airport	CA
CZMT	Masset Airport	CA
CZNG	Poplar River Airport	CA
CZPB	Sachigo Lake Airport	CA
CZPC	Pincher Creek Airport	CA
CZRJ	Round Lake (Weagamow Lake) Airport	CA
